City,Target,MAE,RMSE,MAPE,R2
DE_BILT,temp_mean,1.517641505149946,1.9358904639404433,45.0855067682156,0.9095247525076644
DE_BILT,temp_min,1.943602614860012,2.445136201268928,75.14398304699579,0.8252258094542939
DE_BILT,temp_max,1.834087972771632,2.335688046326392,38.68351086044448,0.9029480588910826
DUSSELDORF,temp_mean,1.6074178750547645,2.13071366999055,44.414694854417995,0.9069474626640308
DUSSELDORF,temp_min,2.137964036236071,2.8983775325055947,105.45736987659437,0.802574158738044
DUSSELDORF,temp_max,1.9781658018451844,2.5417756853301317,38.61385016915942,0.9017490220915988
MAASTRICHT,temp_mean,1.6627615275448315,2.20241232942169,38.85461948388947,0.8989091282456009
MAASTRICHT,temp_min,1.809498360646914,2.5514513637228564,64.69092667811651,0.833787745979602
MAASTRICHT,temp_max,2.0543694203520473,2.619344393607253,49.237631923345695,0.8931362439861592
MUENCHEN,temp_mean,1.5928750767119944,2.0395868931295436,67.0979704794928,0.9375419928321702
MUENCHEN,temp_min,1.5241439019817196,1.986020907101422,77.5206467138366,0.925695983431547
MUENCHEN,temp_max,2.406404089209152,3.0624955337818545,42.11857445547161,0.8954525853106255
OSLO,temp_mean,1.4195544958767825,1.8692186770780526,42.53626253396081,0.9501783158194647
OSLO,temp_min,1.43774715841633,1.8608125205321777,91.39498694476829,0.941229182636907
OSLO,temp_max,1.9307131375351998,2.423265098400681,49.96323670793528,0.9374982621341191
