City,Target,MAE,RMSE,MAPE,R2
DE_BILT,temp_mean,1.4652511936344512,1.8890619438596592,43.60868351516741,0.9138489417053428
DE_BILT,temp_min,1.9363486181546565,2.4434859724482414,74.8585126511484,0.8254616409628781
DE_BILT,temp_max,1.8260747896481866,2.3337096657541463,39.08151816760356,0.9031123996372855
DUSSELDORF,temp_mean,1.5975648357443613,2.1448398796518875,42.187593608269296,0.9057095328188458
DUSSELDORF,temp_min,2.148788248088262,2.910224049105128,114.54199213349835,0.800956986249937
DUSSELDORF,temp_max,2.0673280919741277,2.6768304982628925,47.083627816677506,0.8910306944128616
MAASTRICHT,temp_mean,1.6541340015359123,2.197030032443166,38.18971791811256,0.8994026200809486
MAASTRICHT,temp_min,1.7991264929836746,2.519228723427724,64.89891808331926,0.8379594720695326
MAASTRICHT,temp_max,2.06538816295258,2.626533622878334,49.798357092779064,0.8925488280169029
MUENCHEN,temp_mean,1.5934731687258366,2.0238149403601944,67.41610118147923,0.9385042229327655
MUENCHEN,temp_min,1.5097276581803414,1.9826087964870776,76.45746020903638,0.925951082186381
MUENCHEN,temp_max,2.4187762694162864,3.0764571538318295,44.33676131399442,0.8944971693962132
OSLO,temp_mean,1.3884708835654063,1.8387491128869062,43.35760261891784,0.9517893337577565
OSLO,temp_min,1.43406773691308,1.8585819559225323,90.73210457268249,0.9413699958929301
OSLO,temp_max,1.9401190428537867,2.414347983077385,50.28728155299538,0.9379574027915514
