City,Target,MAE,RMSE,MAPE,R2
DE_BILT,temp_mean,2.058828353881836,2.6493855357787406,52493800.0,0.8305433988571167
DE_BILT,temp_min,2.5593812465667725,3.176762615754899,21099.979,0.7049872875213623
DE_BILT,temp_max,2.347447633743286,3.0608855682687865,48.760906,0.8333256244659424
DUSSELDORF,temp_mean,2.523090124130249,3.357432810891512,2085394.1,0.7689570188522339
DUSSELDORF,temp_min,2.896524429321289,3.9205291992236626,119.0891,0.6387702822685242
DUSSELDORF,temp_max,3.072587013244629,3.9281800186564984,77.066536,0.7653366923332214
MAASTRICHT,temp_mean,2.669804573059082,3.543853279236924,8509696.0,0.738262414932251
MAASTRICHT,temp_min,2.6621484756469727,3.640367621627418,4158682.0,0.6616400480270386
MAASTRICHT,temp_max,3.303736448287964,4.1714347006944985,113.297585,0.7289707660675049
MUENCHEN,temp_mean,2.6093204021453857,3.2407368919309336,951454.5,0.8423147201538086
MUENCHEN,temp_min,2.25118350982666,2.9158753184388155,8119192.0,0.8398294448852539
MUENCHEN,temp_max,3.5644888877868652,4.376420580610217,82.34522,0.7864987254142761
OSLO,temp_mean,2.568040609359741,3.422953675144117,8728573.0,0.8329293131828308
OSLO,temp_min,2.6868419647216797,3.6538986078736633,196.00601,0.7733950018882751
OSLO,temp_max,2.8508431911468506,3.6466266459257097,309700.34,0.8584620952606201
