City,Target,MAE,RMSE,MAPE,R2
DE_BILT,temp_mean,1.5084288322762267,1.9140327950572111,42.21013118689127,0.9115562866900694
DE_BILT,temp_min,2.0018208676168365,2.5132893136140435,75.63840998931329,0.8153470894698739
DE_BILT,temp_max,1.8686467400642288,2.357672697485439,39.00214017158466,0.9011124588228511
DUSSELDORF,temp_mean,1.6098813328677664,2.1095037214245096,42.56819569940498,0.9087908040501586
DUSSELDORF,temp_min,2.1193933250479504,2.8224138277984583,106.13902210079982,0.8127872293438746
DUSSELDORF,temp_max,2.072417991324647,2.607703277530153,41.166177505183036,0.896586131250198
MAASTRICHT,temp_mean,1.6475515558948257,2.1848717480268016,36.991492619863564,0.9005129438056646
MAASTRICHT,temp_min,1.7963836455671753,2.435384380551114,67.53967224789375,0.8485659688149638
MAASTRICHT,temp_max,2.1179631050318886,2.667477013576809,43.61351275543398,0.889172739361919
MUENCHEN,temp_mean,1.6249880477173688,2.094170780563786,68.37923450290349,0.9341542286260449
MUENCHEN,temp_min,1.526033215849367,1.9855730064128068,76.76799797605393,0.9257294947276391
MUENCHEN,temp_max,2.458900884340887,3.1589508043980445,47.30176709436203,0.8887633004108645
OSLO,temp_mean,1.4661983367188336,1.9137752998377018,54.27058551991093,0.9477748049195291
OSLO,temp_min,1.4388868561836137,1.8631739619187573,82.77593400086167,0.9410799232140685
OSLO,temp_max,2.0236774196363476,2.5148998137107004,51.860223975731486,0.932681936272128
