City,Target,XGB_MAE,LSTM_MAE,XGB_RMSE,LSTM_RMSE,XGB_R2,LSTM_R2,Winner
DE_BILT,temp_mean,1.4402849547503744,1.9682185649871826,1.8608369580929764,2.5238439273974214,0.9164041217644773,0.8462223410606384,XGBoost
DE_BILT,temp_min,1.9705547441195137,2.525266647338867,2.473990098494333,3.1646069470333003,0.8210766164016687,0.7072407007217407,XGBoost
DE_BILT,temp_max,1.784948961963392,2.376256227493286,2.2690668117343518,2.9966077699343727,0.9084055588502326,0.8402523994445801,XGBoost
DUSSELDORF,temp_mean,1.5482474538724718,2.3172576427459717,2.042250688329679,3.0257502736722888,0.9145137753348009,0.8123519420623779,XGBoost
DUSSELDORF,temp_min,2.161316089630127,2.7775521278381348,2.871926857397104,3.6395839790877913,0.806161143838376,0.688686728477478,XGBoost
DUSSELDORF,temp_max,1.9961927973080986,2.796353816986084,2.5359929243562696,3.557104743451307,0.9021955725996162,0.8075775504112244,XGBoost
MAASTRICHT,temp_mean,1.6229670992289504,2.629512310028076,2.1264465827778514,3.3247190428466564,0.9057625257881978,0.7696306705474854,XGBoost
MAASTRICHT,temp_min,1.7638132463742608,2.6283509731292725,2.353548861749076,3.5021385743736944,0.8585721663876761,0.6868480443954468,XGBoost
MAASTRICHT,temp_max,2.0610042302902434,3.1506025791168213,2.597337967119059,3.860604897178568,0.8949243330480082,0.7678568363189697,XGBoost
MUENCHEN,temp_mean,1.5989230534801744,2.4643287658691406,2.0579334942876595,3.153345716934674,0.9364132878520657,0.8507044315338135,XGBoost
MUENCHEN,temp_min,1.481208176547534,2.1346452236175537,1.9517742679735346,2.847724568367727,0.928236463186603,0.8472291231155396,XGBoost
MUENCHEN,temp_max,2.463248948136421,3.3905131816864014,3.111989952110964,4.255806042432007,0.8920459992223264,0.7981047630310059,XGBoost
OSLO,temp_mean,1.3984296405478698,2.2841882705688477,1.8300070792238197,3.010551335227655,0.9522466635636403,0.8707619905471802,XGBoost
OSLO,temp_min,1.4260699862649993,2.511481523513794,1.805643142026324,3.21717810905016,0.9446623977907059,0.8243262767791748,XGBoost
OSLO,temp_max,1.9871665029656396,2.7197413444519043,2.4502820929475417,3.3989552070649283,0.9360968287805245,0.8770351409912109,XGBoost
