City,Target,MAE,RMSE,MAPE,R2
DE_BILT,temp_mean,1.9682185649871826,2.5238439273974214,2693327.2,0.8462223410606384
DE_BILT,temp_min,2.525266647338867,3.1646069470333003,669418.3,0.7072407007217407
DE_BILT,temp_max,2.376256227493286,2.9966077699343727,54.3714,0.8402523994445801
DUSSELDORF,temp_mean,2.3172576427459717,3.0257502736722888,675117.6,0.8123519420623779
DUSSELDORF,temp_min,2.7775521278381348,3.6395839790877913,125.79365,0.688686728477478
DUSSELDORF,temp_max,2.796353816986084,3.557104743451307,48.930325,0.8075775504112244
MAASTRICHT,temp_mean,2.629512310028076,3.3247190428466564,2732009.8,0.7696306705474854
MAASTRICHT,temp_min,2.6283509731292725,3.5021385743736944,2447443.8,0.6868480443954468
MAASTRICHT,temp_max,3.1506025791168213,3.860604897178568,66.61836,0.7678568363189697
MUENCHEN,temp_mean,2.4643287658691406,3.153345716934674,17541482.0,0.8507044315338135
MUENCHEN,temp_min,2.1346452236175537,2.847724568367727,14492953.0,0.8472291231155396
MUENCHEN,temp_max,3.3905131816864014,4.255806042432007,65.80838,0.7981047630310059
OSLO,temp_mean,2.2841882705688477,3.010551335227655,11177402.0,0.8707619905471802
OSLO,temp_min,2.511481523513794,3.21717810905016,202.48079,0.8243262767791748
OSLO,temp_max,2.7197413444519043,3.3989552070649283,1780755.1,0.8770351409912109
