City,Target,MAE,RMSE,MAPE,R2
DE_BILT,temp_mean,1.4402849547503744,1.8608369580929764,39.69055038739003,0.9164041217644773
DE_BILT,temp_min,1.9705547441195137,2.473990098494333,74.92683044589187,0.8210766164016687
DE_BILT,temp_max,1.784948961963392,2.2690668117343518,34.76401918073442,0.9084055588502326
DUSSELDORF,temp_mean,1.5482474538724718,2.042250688329679,35.71834168954518,0.9145137753348009
DUSSELDORF,temp_min,2.161316089630127,2.871926857397104,108.32224993806054,0.806161143838376
DUSSELDORF,temp_max,1.9961927973080986,2.5359929243562696,39.08580064561688,0.9021955725996162
MAASTRICHT,temp_mean,1.6229670992289504,2.1264465827778514,35.38867618025054,0.9057625257881978
MAASTRICHT,temp_min,1.7638132463742608,2.353548861749076,65.85154971972214,0.8585721663876761
MAASTRICHT,temp_max,2.0610042302902434,2.597337967119059,43.4517746623859,0.8949243330480082
MUENCHEN,temp_mean,1.5989230534801744,2.0579334942876595,64.78838932965591,0.9364132878520657
MUENCHEN,temp_min,1.481208176547534,1.9517742679735346,78.58204226455567,0.928236463186603
MUENCHEN,temp_max,2.463248948136421,3.111989952110964,45.0795491034034,0.8920459992223264
OSLO,temp_mean,1.3984296405478698,1.8300070792238197,52.08935898232144,0.9522466635636403
OSLO,temp_min,1.4260699862649993,1.805643142026324,89.74135033445233,0.9446623977907059
OSLO,temp_max,1.9871665029656396,2.4502820929475417,51.79529387497608,0.9360968287805245
